;model;number_parameters;train_set;backbone;training_method
0;convnext_base.clip_laion2b;87564416;laion2b;cnn;clip
1;convnext_base.fb_in1k;87564416;in1k;cnn;supervised
2;convnext_base.fb_in22k;87564416;in22k;cnn;supervised
3;convnext_large.fb_in1k;196227264;in1k;cnn;supervised
4;convnext_large.fb_in22k;196227264;in22k;cnn;supervised
5;convnext_large_mlp.clip_laion2b_augreg;196227264;laion2b;cnn;clip
6;convnext_small.fb_in1k;49453152;in1k;cnn;supervised
7;convnext_small.fb_in22k;49453152;in22k;cnn;supervised
8;convnext_tiny.fb_in1k;27818592;in1k;cnn;supervised
9;convnext_tiny.fb_in22k;27818592;in22k;cnn;supervised
10;convnext_xxlarge.clip_laion2b_soup;843391872;laion2b;cnn;clip
11;cornet;52903616;in1k;cnn;supervised
12;dino_base;86580480;LVD-142M;vit;unsupervised
13;dino_giant;1136480768;LVD-142M;vit;unsupervised
14;dino_large;304368640;LVD-142M;vit;unsupervised
15;dino_small;22056576;LVD-142M;vit;unsupervised
16;dinov3_7b;6716035072;LVD-1689M;vit;unsupervised
17;dinov3_base;85660416;LVD-1689M;vit;unsupervised
18;dinov3_convnext_base;87566464;LVD-1689M;cnn;unsupervised
19;dinov3_convnext_large;196230336;LVD-1689M;cnn;unsupervised
20;dinov3_convnext_small;49454688;LVD-1689M;cnn;unsupervised
21;dinov3_convnext_tiny;27820128;LVD-1689M;cnn;unsupervised
22;dinov3_huge;840592640;LVD-1689M;vit;unsupervised
23;dinov3_large;303129600;LVD-1689M;vit;unsupervised
24;dinov3_small;21596544;LVD-1689M;vit;unsupervised
25;resnet101.a1_in1k;42500160;in1k;cnn;supervised
26;resnet101_clip.openai;42519392;openai-400m;cnn;clip
27;resnet18.a1_in1k;11176512;in1k;cnn;supervised
28;resnet50.a1_in1k;23508032;in1k;cnn;supervised
29;resnet50_clip.openai;23527264;openai-400m;cnn;clip
30;vit_base_in22k;86389248;in22k;vit;supervised
31;vit_base_patch16_224.augreg_in1k;85797120;in1k;vit;supervised
32;vit_base_patch16_224.dino;85797120;in1k;vit;unsupervised
33;vit_base_patch16_clip_224.laion2b;85797888;laion2b;vit;clip
34;vit_base_patch16_clip_224.openai;85797888;openai-400m;vit;clip
35;vit_giant_patch14_clip_224.laion2b;1011201024;laion2b;vit;clip
36;vit_huge_in22k;632404480;in22k;vit;supervised
37;vit_huge_patch14_clip_224.laion2b;630763520;laion2b;vit;clip
38;vit_large_in22k;304351232;in22k;vit;supervised
39;vit_large_patch14_clip_224.laion2b;303177728;laion2b;vit;clip
40;vit_large_patch14_clip_224.openai;303177728;openai-400m;vit;clip
41;vit_small_in22k;21813504;in22k;vit;supervised
42;vit_small_patch16_224.augreg_in1k;21664896;in1k;vit;supervised
43;vit_small_patch16_224.dino;21664896;in1k;vit;unsupervised
44;vit_tiny_in22k;5561472;in22k;vit;supervised
