,mean_residual,sem_residual,bin_center
0,-285.30011926773733,110.68401040031007,0.037599999999999995
1,-113.80023114589908,81.37541653367875,0.041550000000000004
2,-213.49678043296893,71.5361946339476,0.04375
3,-113.83912142510633,58.06186477362865,0.0448
4,-95.57145114858345,81.19360148130002,0.0457
5,86.3551742710727,117.6224483460543,0.0471
6,102.70724880697037,99.07605830228667,0.0487
7,7.368216180591799,188.83300762347795,0.049949999999999994
8,-31.40175377672017,108.95708607278452,0.0514
9,45.787008202600376,120.6866839013136,0.0545
10,222.8197404727628,141.706505702889,0.0592
11,345.7199013966289,110.9743368578871,0.0695
