model,number_parameters,train_set,backbone,rank,best_layer,train_set_size,power_number_parameters,log_number_parameters,training_method
convnext_base.clip_laion2b,87564416,laion2b,cnn,3.7291666666666665,layer_3,2000000000,197190.098390829,7.942327655546322,clip
convnext_base.fb_in1k,87564416,in1k,cnn,5.534722222222222,layer_1,1281167,197190.098390829,7.942327655546322,supervised
convnext_base.fb_in22k,87564416,in22k,cnn,5.388888888888889,layer_1,14197122,197190.098390829,7.942327655546322,supervised
convnext_large.fb_in1k,196227264,in1k,cnn,5.75,layer_1,1281167,337680.6944962593,8.29275934851867,supervised
convnext_large.fb_in22k,196227264,in22k,cnn,5.444444444444445,layer_1,14197122,337680.6944962593,8.29275934851867,supervised
convnext_large_mlp.clip_laion2b_augreg,196227264,laion2b,cnn,2.8194444444444446,layer_3,2000000000,337680.6944962593,8.29275934851867,clip
convnext_small.fb_in1k,49453152,in1k,cnn,5.951388888888889,layer_1,1281167,134729.48560448742,7.694193977481859,supervised
convnext_small.fb_in22k,49453152,in22k,cnn,5.569444444444445,layer_1,14197122,134729.48560448742,7.694193977481859,supervised
convnext_tiny.fb_in1k,27818592,in1k,cnn,5.354166666666667,layer_2,1281167,91810.02309945988,7.444335144990857,supervised
convnext_tiny.fb_in22k,27818592,in22k,cnn,4.986111111111111,layer_2,14197122,91810.02309945988,7.444335144990857,supervised
convnext_xxlarge.clip_laion2b_soup,843391872,laion2b,cnn,3.8958333333333335,layer_3,2000000000,892660.4104043499,8.926029411283352,clip
cornet,52903616,in1k,cnn,4.076388888888889,layer_2,1281167,140925.71218557158,7.72348535738823,supervised
dino_base,86580480,LVD-142M,vit,3.6041666666666665,layer_13,142000000,195710.1393351006,7.937419989201479,unsupervised
dino_giant,1136480768,LVD-142M,vit,3.298611111111111,layer_41,142000000,1089033.8873843346,9.05556209081141,unsupervised
dino_large,304368640,LVD-142M,vit,3.6180555555555554,layer_25,142000000,452480.5710090574,8.48339990376031,unsupervised
dino_small,22056576,LVD-142M,vit,3.9652777777777777,layer_13,142000000,78648.79320145102,7.343538094698879,unsupervised
dinov3_7b,6716035072,LVD-1689M,vit,2.4444444444444446,layer_34,1700000000,2373107.3142562215,9.827112955413643,unsupervised
dinov3_base,85660416,LVD-1689M,vit,2.3680555555555554,layer_13,1700000000,194321.17123943623,7.932780179167086,unsupervised
dinov3_convnext_base,87566464,LVD-1689M,cnn,3.4166666666666665,layer_5,1700000000,197193.1730320721,7.942337812922325,unsupervised
dinov3_convnext_large,196230336,LVD-1689M,cnn,3.6875,layer_5,1700000000,337684.2188192498,8.292766147483187,unsupervised
dinov3_convnext_small,49454688,LVD-1689M,cnn,3.076388888888889,layer_5,1700000000,134732.27536153034,7.694207466328128,unsupervised
dinov3_convnext_tiny,27820128,LVD-1689M,cnn,3.9722222222222223,layer_5,1700000000,91813.40258748422,7.444359123843152,unsupervised
dinov3_huge,840592640,LVD-1689M,vit,2.361111111111111,layer_33,1700000000,890684.1461064301,8.924585583121976,unsupervised
dinov3_large,303129600,LVD-1689M,vit,2.2152777777777777,layer_25,1700000000,451251.74840302987,8.481628346427028,unsupervised
dinov3_small,21596544,LVD-1689M,vit,3.1180555555555554,layer_13,1700000000,77551.37559130824,7.334384258474264,unsupervised
resnet101.a1_in1k,42500160,in1k,cnn,4.666666666666667,layer_3,1281167,121784.97464001835,7.628390565038225,supervised
resnet101_clip.openai,42519392,openai-400m,cnn,3.8472222222222223,layer_4,400000000,121821.71163148724,7.628587045763468,clip
resnet18.a1_in1k,11176512,in1k,cnn,4.930555555555555,layer_3,1281167,49988.58679312491,7.048306288746917,supervised
resnet50.a1_in1k,23508032,in1k,cnn,4.284722222222222,layer_3,1281167,82062.39394165923,7.371216273220426,supervised
resnet50_clip.openai,23527264,openai-400m,cnn,3.8958333333333335,layer_4,400000000,82107.14485478746,7.371571425739991,clip
vit_base_in22k,86389248,in22k,vit,5.722222222222222,layer_3,14197122,195421.85393729186,7.936459693580256,supervised
vit_base_patch16_224.augreg_in1k,85797120,in1k,vit,5.770833333333333,layer_7,1281167,194527.85885553824,7.933472709887164,supervised
vit_base_patch16_clip_224.laion2b,85797888,laion2b,vit,3.2430555555555554,layer_8,2000000000,194529.01971169686,7.933476597391421,clip
vit_base_patch16_clip_224.openai,85797888,openai-400m,vit,4.5,layer_8,400000000,194529.01971169686,7.933476597391421,clip
vit_giant_patch14_clip_224.laion2b,1011201024,laion2b,vit,3.75,layer_35,2000000000,1007453.4779549239,9.004837500729968,clip
vit_huge_in22k,632404480,in22k,vit,5.298611111111111,layer_32,14197122,736766.6490183222,8.800994937845225,supervised
vit_huge_patch14_clip_224.laion2b,630763520,laion2b,vit,3.1458333333333335,layer_28,2000000000,735491.5915767606,8.799866568105138,clip
vit_large_in22k,304351232,in22k,vit,4.409722222222222,layer_25,14197122,452463.3181215372,8.483375064096975,supervised
vit_large_patch14_clip_224.laion2b,303177728,laion2b,vit,4.722222222222222,layer_23,2000000000,451299.51074515673,8.481697294051123,clip
vit_large_patch14_clip_224.openai,303177728,openai-400m,vit,3.7083333333333335,layer_14,400000000,451299.51074515673,8.481697294051123,clip
vit_small_in22k,21813504,in22k,vit,4.743055555555555,layer_13,14197122,78069.89990648715,7.338725433833349,supervised
vit_small_patch16_224.augreg_in1k,21664896,in1k,vit,5.159722222222222,layer_3,1281167,77714.92025926303,7.33575660859151,supervised
vit_tiny_in22k,5561472,in22k,vit,4.770833333333333,layer_5,14197122,31390.134027939184,6.745189755047522,supervised
