,model,rank,best_layer
16,dinov3_large,2.2152777777777777,layer_25
7,dinov3_huge,2.361111111111111,layer_33
20,dinov3_base,2.3680555555555554,layer_13
29,dinov3_7b,2.4444444444444446,layer_34
30,convnext_large_mlp.clip_laion2b_augreg,2.8194444444444446,layer_3
32,dinov3_convnext_small,3.076388888888889,layer_5
3,dinov3_small,3.1180555555555554,layer_13
17,vit_huge_patch14_clip_224.laion2b,3.1458333333333335,layer_28
12,vit_base_patch16_clip_224.laion2b,3.2430555555555554,layer_8
38,dino_giant,3.298611111111111,layer_41
23,dinov3_convnext_base,3.4166666666666665,layer_5
19,dino_base,3.6041666666666665,layer_13
39,dino_large,3.6180555555555554,layer_25
42,dinov3_convnext_large,3.6875,layer_5
35,vit_large_patch14_clip_224.openai,3.7083333333333335,layer_14
41,convnext_base.clip_laion2b,3.7291666666666665,layer_3
21,vit_giant_patch14_clip_224.laion2b,3.75,layer_35
24,resnet101_clip.openai,3.8472222222222223,layer_4
37,convnext_xxlarge.clip_laion2b_soup,3.8958333333333335,layer_3
36,resnet50_clip.openai,3.8958333333333335,layer_4
33,dino_small,3.9652777777777777,layer_13
4,dinov3_convnext_tiny,3.9722222222222223,layer_5
8,cornet,4.076388888888889,layer_2
25,resnet50.a1_in1k,4.284722222222222,layer_3
10,vit_large_in22k,4.409722222222222,layer_25
13,vit_base_patch16_clip_224.openai,4.5,layer_8
26,resnet101.a1_in1k,4.666666666666667,layer_3
28,vit_large_patch14_clip_224.laion2b,4.722222222222222,layer_23
34,vit_small_in22k,4.743055555555555,layer_13
1,vit_tiny_in22k,4.770833333333333,layer_5
22,resnet18.a1_in1k,4.930555555555555,layer_3
0,convnext_tiny.fb_in22k,4.986111111111111,layer_2
18,vit_small_patch16_224.augreg_in1k,5.159722222222222,layer_3
5,vit_huge_in22k,5.298611111111111,layer_32
2,convnext_tiny.fb_in1k,5.354166666666667,layer_2
14,convnext_base.fb_in22k,5.388888888888889,layer_1
6,convnext_large.fb_in22k,5.444444444444445,layer_1
15,convnext_base.fb_in1k,5.534722222222222,layer_1
27,convnext_small.fb_in22k,5.569444444444445,layer_1
11,vit_base_in22k,5.722222222222222,layer_3
31,convnext_large.fb_in1k,5.75,layer_1
40,vit_base_patch16_224.augreg_in1k,5.770833333333333,layer_7
9,convnext_small.fb_in1k,5.951388888888889,layer_1
